id,path,line,kind,index,source,translation,meta
scenes/PROMO.md:9:choice:0,scenes/PROMO.md,9,choice,0,PLAY!,ΠΑΙΞΕ!,"{""anchor"": ""#intro-start""}"
scenes/PROMO.md:17:dialogue:0,scenes/PROMO.md,17,dialogue,0,"So before we start, how would *you* like to read?","Πριν ξεκινήσουμε, πώς θες *εσύ* να διαβάζεις;","{""speaker"": ""n3""}"
scenes/PROMO.md:23:dialogue:0,scenes/PROMO.md,23,dialogue,0,"Now, let's begin our story...","Τώρα, ας ξεκινήσουμε την ιστορία μας...","{""speaker"": ""n3""}"
scenes/PROMO.md:34:dialogue:0,scenes/PROMO.md,34,dialogue,0,THIS IS A HUMAN,ΑΥΤΟΣ ΕΙΝΑΙ ΕΝΑΣ ΑΝΘΡΩΠΟΣ,"{""speaker"": ""n2""}"
scenes/PROMO.md:54:dialogue:0,scenes/PROMO.md,54,dialogue,0,AND THIS IS THE HUMAN'S ANXIETY,ΚΑΙ ΑΥΤΟ ΕΙΝΑΙ ΤΟ ΑΓΧΟΣ ΤΟΥ ΑΝΘΡΩΠΟΥ,"{""speaker"": ""n""}"
scenes/PROMO.md:56:dialogue:0,scenes/PROMO.md,56,dialogue,0,_YOU_ ARE THE ANXIETY,_ΕΣΥ_ ΕΙΣΑΙ ΤΟ ΑΓΧΟΣ,"{""speaker"": ""n""}"
scenes/PROMO.md:69:dialogue:0,scenes/PROMO.md,69,dialogue,0,"Nope. No, nope, not listening. Gonna check my phone.","Όχι. Όχι, όχι, δεν ακούω. Θα δω το κινητό μου.","{""speaker"": ""h""}"
scenes/PROMO.md:76:dialogue:0,scenes/PROMO.md,76,dialogue,0,YOUR JOB IS TO PROTECT YOUR HUMAN FROM *DANGER*,Η ΔΟΥΛΕΙΑ ΣΟΥ ΕΙΝΑΙ ΝΑ ΠΡΟΣΤΑΤΕΥΕΙΣ ΤΟΝ ΑΝΘΡΩΠΟ ΣΟΥ ΑΠΟ *ΚΙΝΔΥΝΟ*,"{""speaker"": ""n""}"
scenes/PROMO.md:80:dialogue:0,scenes/PROMO.md,80,dialogue,0,Gasp! You're scrolling your life away on Twitter! Again!,Ωχ! Ξοδεύεις τη ζωή σου στο Twitter! Πάλι!,"{""speaker"": ""b""}"
scenes/PROMO.md:87:dialogue:0,scenes/PROMO.md,87,dialogue,0,Yeah I wonder why I don't just sit and listen to my thoughts more often.,"Ναι, απορώ γιατί δεν κάθομαι απλά να ακούω τις σκέψεις μου πιο συχνά.","{""speaker"": ""h""}"
scenes/PROMO.md:91:dialogue:0,scenes/PROMO.md,91,dialogue,0,"QUICK, WARN THEM ABOUT A *DANGER!*","ΓΡΗΓΟΡΑ, ΠΡΟΕΙΔΟΠΟΙΗΣΕ ΤΟΥΣ ΓΙΑ *ΚΙΝΔΥΝΟ!*","{""speaker"": ""n""}"
scenes/PROMO.md:97:choice:0,scenes/PROMO.md,97,choice,0,"Oh no, look at that horrible news story!","Ωχ όχι, κοίτα αυτό το φρικτό νέο!","{""anchor"": ""#act1d_news""}"
scenes/PROMO.md:99:choice:0,scenes/PROMO.md,99,choice,0,"Oh no, is that tweet secretly about *us?*","Ωχ όχι, αυτό το tweet μιλάει κρυφά για *εμάς;*","{""anchor"": ""#act1d_subtweet""}"
scenes/PROMO.md:101:choice:0,scenes/PROMO.md,101,choice,0,"Hey, a GIF of a cat drinking milk","Έι, ένα GIF με γάτα που πίνει γάλα","{""anchor"": ""#act1d_milk""}"
scenes/PROMO.md:107:dialogue:0,scenes/PROMO.md,107,dialogue,0,"Heh ya that's cute, I--","Χεχ ναι είναι χαριτωμένο, εγώ--","{""speaker"": ""h""}"
scenes/PROMO.md:115:dialogue:0,scenes/PROMO.md,115,dialogue,0,CATS CAN'T DIGEST MILK AND WE'RE TERRIBLE PEOPLE FOR ENJOYING ANIMAL ABUSE,ΟΙ ΓΑΤΕΣ ΔΕΝ ΧΩΝΕΥΟΥΝ ΤΟ ΓΑΛΑ ΚΑΙ ΕΙΜΑΣΤΕ ΑΠΑΙΣΙΟΙ ΓΙΑΤΙ ΑΠΟΛΑΜΒΑΝΟΥΜΕ ΚΑΚΟΠΟΙΗΣΗ ΖΩΩΝ,"{""speaker"": ""b""}"
scenes/act1.md:9:dialogue:0,scenes/act1.md,9,dialogue,0,AND THIS IS THE HUMAN'S ANXIETY,ΚΑΙ ΑΥΤΟ ΕΙΝΑΙ ΤΟ ΆΓΧΟΣ ΤΟΥ ΑΝΘΡΩΠΟΥ,"{""speaker"": ""n""}"
scenes/act1.md:11:dialogue:0,scenes/act1.md,11,dialogue,0,_YOU_ ARE THE ANXIETY,_ΕΣΥ_ ΕΙΣΑΙ ΤΟ ΆΓΧΟΣ,"{""speaker"": ""n""}"
scenes/act1.md:27:dialogue:0,scenes/act1.md,27,dialogue,0,Oh hey! We're back here again?,"Ω, γεια! Πάλι εδώ;","{""speaker"": ""h""}"
scenes/act1.md:31:dialogue:0,scenes/act1.md,31,dialogue,0,YOUR JOB IS TO PROTECT YOUR HUMAN FROM *DANGER*,Η ΔΟΥΛΕΙΑ ΣΟΥ ΕΙΝΑΙ ΝΑ ΠΡΟΣΤΑΤΕΥΕΙΣ ΤΟΝ ΑΝΘΡΩΠΟ ΣΟΥ ΑΠΟ *ΚΙΝΔΥΝΟ*,"{""speaker"": ""n""}"
scenes/act1.md:35:dialogue:0,scenes/act1.md,35,dialogue,0,"IN FACT, REPLAYING THIS GAME IS PUTTING THEM IN *DANGER* RIGHT NOW","ΜΑΛΙΣΤΑ, ΤΟ ΝΑ ΞΑΝΑΠΑΙΖΕΙΣ ΑΥΤΟ ΤΟ ΠΑΙΧΝΙΔΙ ΤΟΥΣ ΒΑΖΕΙ ΣΕ *ΚΙΝΔΥΝΟ* ΤΩΡΑ","{""speaker"": ""n""}"
scenes/act1.md:37:dialogue:0,scenes/act1.md,37,dialogue,0,"QUICK, WARN THEM!","ΓΡΗΓΟΡΑ, ΠΡΟΕΙΔΟΠΟΙΗΣΕ ΤΟΥΣ!","{""speaker"": ""n""}"
scenes/act1.md:45:dialogue:0,scenes/act1.md,45,dialogue,0,"Human! Listen, we're in danger! The player...","Άνθρωπο! Άκου, κινδυνεύουμε! Ο παίκτης...","{""speaker"": ""b""}"
scenes/act1.md:47:choice:0,scenes/act1.md,47,choice,0,...is gonna torture us again!,...θα μας βασανίσει ξανά!,"{""anchor"": ""#act1_replay_torture""}"
scenes/act1.md:49:choice:0,scenes/act1.md,49,choice,0,...won't find an alternate ending!,...δεν θα βρει εναλλακτικό τέλος!,"{""anchor"": ""#act1_replay_alternate""}"
scenes/act1.md:51:choice:0,scenes/act1.md,51,choice,0,...will get ludonarrative dissonance!,...θα πάθει ludonarrative dissonance!,"{""anchor"": ""#act1_replay_dissonance""}"
scenes/act1.md:62:dialogue:0,scenes/act1.md,62,dialogue,0,They'll make us curl up into a ball and cry!,Θα μας κάνουν να μαζευτούμε σαν μπάλα και να κλάψουμε!,"{""speaker"": ""b""}"
scenes/act1.md:66:dialogue:0,scenes/act1.md,66,dialogue,0,They'll make us kill your phone for giving you a panic attack!,Θα μας κάνουν να σκοτώσουμε το τηλέφωνό σου επειδή σου έδωσε κρίση πανικού!,"{""speaker"": ""b""}"
scenes/act1.md:70:dialogue:0,scenes/act1.md,70,dialogue,0,They'll make us *NOT* punch the party host!,Θα μας κάνουν να *ΜΗΝ* χτυπήσουμε τον οικοδεσπότη του πάρτι!,"{""speaker"": ""b""}"
scenes/act1.md:74:dialogue:0,scenes/act1.md,74,dialogue,0,They'll make us punch the Sympathetic Anti-Villain party host!,Θα μας κάνουν να χτυπήσουμε τον Συμπαθητικό Anti-Villain οικοδεσπότη του πάρτι!,"{""speaker"": ""b""}"
scenes/act1.md:78:dialogue:0,scenes/act1.md,78,dialogue,0,Well at least we might not jump off the roof this ti--,"Λοιπόν, τουλάχιστον ίσως δεν πηδήξουμε από τη σκεπή αυτή τη φο--","{""speaker"": ""h""}"
scenes/act1.md:82:dialogue:0,scenes/act1.md,82,dialogue,0,THEY'LL MAKE US JUMP OFF THE ROOF.,ΘΑ ΜΑΣ ΚΑΝΟΥΝ ΝΑ ΠΗΔΗΞΟΥΜΕ ΑΠΟ ΤΗ ΣΚΕΠΗ.,"{""speaker"": ""b""}"
scenes/act1.md:87:dialogue:0,scenes/act1.md,87,dialogue,0,"ALL THESE NEW TERRIBLE THINGS WILL HAPPEN TO US, AND THEN WE'LL--","ΟΛΑ ΑΥΤΑ ΤΑ ΝΕΑ ΤΡΟΜΕΡΑ ΠΡΑΓΜΑΤΑ ΘΑ ΜΑΣ ΣΥΜΒΟΥΝ, ΚΑΙ ΜΕΤΑ ΘΑ--","{""speaker"": ""b""}"
scenes/act1.md:99:dialogue:0,scenes/act1.md,99,dialogue,0,"Sure, the story as a *whole* is the same, but each chapter has two possible endings, plus all the branching dialogue opti--","Ναι, η ιστορία *συνολικά* είναι ίδια, αλλά κάθε κεφάλαιο έχει δύο πιθανά τέλη, συν όλες τις διακλαδώσεις διαλόγου επιλο--","{""speaker"": ""h""}"
scenes/act1.md:103:dialogue:0,scenes/act1.md,103,dialogue,0,"The player will be disappointed, close this browser tab, delete our software, and then we'll--","Ο παίκτης θα απογοητευτεί, θα κλείσει αυτό το tab, θα σβήσει το λογισμικό μας, και μετά θα--","{""speaker"": ""b""}"
scenes/act1.md:115:dialogue:0,scenes/act1.md,115,dialogue,0,A lewd-what now?,Λιούντ-τι τώρα;,"{""speaker"": ""h""}"
scenes/act1.md:119:dialogue:0,scenes/act1.md,119,dialogue,0,"The story arc was about how you can *CHOOSE* to build a healthy collaboration with your fear,","Η ιστορία ήταν για το πώς μπορείς να *ΕΠΙΛΕΞΕΙΣ* να χτίσεις μια υγιή συνεργασία με τον φόβο σου,","{""speaker"": ""b""}"
